.com,200
.org,200
.net,200
.int,http://www.example.int is not valid
.edu,200
.gov,http://www.example.gov is not valid
.mil,http://www.example.mil is not valid
.academy,http://www.example.academy is not valid
.accountant,http://www.example.accountant is not valid
.adult,http://www.example.adult is not valid
.aero,http://www.example.aero is not valid
.agency,http://www.example.agency is not valid
.apartments,http://www.example.apartments is not valid
.app_(gTLD),http://www.example.app_(gTLD) is not valid
.arch,http://www.example.arch is not valid
.associates,http://www.example.associates is not valid
.audio,http://www.example.audio is not valid
.auto,http://www.example.auto is not valid
.bar,http://www.example.bar is not valid
.bargains,http://www.example.bargains is not valid
.best,http://www.example.best is not valid
.bible,http://www.example.bible is not valid
.bike,http://www.example.bike is not valid
.biz,http://www.example.biz is not valid
.blac,http://www.example.blac is not valid
.blackfriday,http://www.example.blackfriday is not valid
.blog,http://www.example.blog is not valid
.blue,http://www.example.blue is not valid
.builders,http://www.example.builders is not valid
.cam,http://www.example.cam is not valid
.cam,http://www.example.cam is not valid
.camera,http://www.example.camera is not valid
.camp,http://www.example.camp is not valid
.cancerresearch,http://www.example.cancerresearch is not valid
.car,http://www.example.car is not valid
.cards,http://www.example.cards is not valid
.cars,http://www.example.cars is not valid
.center,http://www.example.center is not valid
.cheap,http://www.example.cheap is not valid
.christmas,http://www.example.christmas is not valid
.church,http://www.example.church is not valid
.clic,http://www.example.clic is not valid
.clothing,http://www.example.clothing is not valid
.club,http://www.example.club is not valid
.codes,http://www.example.codes is not valid
.coffee,http://www.example.coffee is not valid
.college,http://www.example.college is not valid
.coop,http://www.example.coop is not valid
.country,http://www.example.country is not valid
.dance,http://www.example.dance is not valid
Generic_top-level_domain,http://www.exampleGeneric_top-level_domain is not valid
.date,http://www.example.date is not valid
.dating,http://www.example.dating is not valid
.design,http://www.example.design is not valid
.dev,http://www.example.dev is not valid
.diet,http://www.example.diet is not valid
.directory,http://www.example.directory is not valid
.download,http://www.example.download is not valid
.eco,http://www.example.eco is not valid
.education,http://www.example.education is not valid
.email,http://www.example.email is not valid
.events,http://www.example.events is not valid
.exchange,http://www.example.exchange is not valid
.exposed,http://www.example.exposed is not valid
.faith,http://www.example.faith is not valid
.farm,http://www.example.farm is not valid
.flowers,http://www.example.flowers is not valid
.game,http://www.example.game is not valid
.gdn,http://www.example.gdn is not valid
.gift,http://www.example.gift is not valid
.glass,http://www.example.glass is not valid
.global,http://www.example.global is not valid
.gop,http://www.example.gop is not valid
.green,http://www.example.green is not valid
.guitars,http://www.example.guitars is not valid
.guru,http://www.example.guru is not valid
.help,http://www.example.help is not valid
.hiphop,http://www.example.hiphop is not valid
.hiv,http://www.example.hiv is not valid
.holdings,http://www.example.holdings is not valid
.hosting,http://www.example.hosting is not valid
.house,http://www.example.house is not valid
.info,http://www.example.info is not valid
.in,http://www.example.in is not valid
.international,http://www.example.international is not valid
.jobs,http://www.example.jobs is not valid
.kim,http://www.example.kim is not valid
.land,http://www.example.land is not valid
.lgbt,http://www.example.lgbt is not valid
.life,http://www.example.life is not valid
.lighting,http://www.example.lighting is not valid
.lin,http://www.example.lin is not valid
.live,http://www.example.live is not valid
.loan,http://www.example.loan is not valid
.lol,http://www.example.lol is not valid
.love,http://www.example.love is not valid
.map,http://www.example.map is not valid
.market,http://www.example.market is not valid
.med,http://www.example.med is not valid
.meet,http://www.example.meet is not valid
.menu,http://www.example.menu is not valid
.mob,http://www.example.mob is not valid
.moe,http://www.example.moe is not valid
.mom,http://www.example.mom is not valid
.movie,http://www.example.movie is not valid
.museum,http://www.example.museum is not valid
.name,http://www.example.name is not valid
.ne,http://www.example.ne is not valid
.NGO_and_.ONG,http://www.example.NGO_and_.ONG is not valid
.one_(top-level_domain),http://www.example.one_(top-level_domain) is not valid
.NGO_and_.ONG,http://www.example.NGO_and_.ONG is not valid
.onl,http://www.example.onl is not valid
.ooo,http://www.example.ooo is not valid
.organic,http://www.example.organic is not valid
.pharmacy,http://www.example.pharmacy is not valid
.photo,http://www.example.photo is not valid
.photos,http://www.example.photos is not valid
.pics,http://www.example.pics is not valid
.pin,http://www.example.pin is not valid
.pizza,http://www.example.pizza is not valid
.plumbing,http://www.example.plumbing is not valid
.porn,http://www.example.porn is not valid
.post,http://www.example.post is not valid
.pro,http://www.example.pro is not valid
.properties,http://www.example.properties is not valid
.property,http://www.example.property is not valid
.realtor,http://www.example.realtor is not valid
.rich,http://www.example.rich is not valid
.rocks,http://www.example.rocks is not valid
.sale,http://www.example.sale is not valid
.science,http://www.example.science is not valid
.sex,http://www.example.sex is not valid
.sexy,http://www.example.sexy is not valid
.shop,http://www.example.shop is not valid
.singles,http://www.example.singles is not valid
.social,http://www.example.social is not valid
.solar,http://www.example.solar is not valid
.stream,http://www.example.stream is not valid
.sucks,http://www.example.sucks is not valid
.tattoo,http://www.example.tattoo is not valid
.tel,http://www.example.tel is not valid
.today,http://www.example.today is not valid
.top,http://www.example.top is not valid
.travel,http://www.example.travel is not valid
.ventures,http://www.example.ventures is not valid
.video,http://www.example.video is not valid
.voting,http://www.example.voting is not valid
.wedding,http://www.example.wedding is not valid
.,http://www.example. is not valid
.win,http://www.example.win is not valid
.wor,http://www.example.wor is not valid
.wtf,http://www.example.wtf is not valid
.xxx,http://www.example.xxx is not valid
.XYZ,http://www.example.XYZ is not valid
.kaufen,http://www.example.kaufen is not valid
.des,http://www.example.des is not valid
.shiksha,http://www.example.shiksha is not valid
.moda,http://www.example.moda is not valid
.futbol,http://www.example.futbol is not valid
.juegos,http://www.example.juegos is not valid
.uno,http://www.example.uno is not valid
.africa,http://www.example.africa is not valid
.asia,http://www.example.asia is not valid
.krd,http://www.example.krd is not valid
.taipe,http://www.example.taipe is not valid
.tokyo,http://www.example.tokyo is not valid
.alsace,http://www.example.alsace is not valid
.amsterdam,http://www.example.amsterdam is not valid
.bcn,http://www.example.bcn is not valid
.barcelona,http://www.example.barcelona is not valid
.berlin,http://www.example.berlin is not valid
.brussels,http://www.example.brussels is not valid
.bzh,http://www.example.bzh is not valid
.cat,http://www.example.cat is not valid
.cymru,http://www.example.cymru is not valid
.eus,http://www.example.eus is not valid
.frl,http://www.example.frl is not valid
.gal,http://www.example.gal is not valid
.gent,http://www.example.gent is not valid
.irish,http://www.example.irish is not valid
.istanbul,http://www.example.istanbul is not valid
.istanbul,http://www.example.istanbul is not valid
.london,http://www.example.london is not valid
.paris,http://www.example.paris is not valid
.saarland,http://www.example.saarland is not valid
.scot,http://www.example.scot is not valid
.swiss,http://www.example.swiss is not valid
.vlaanderen,http://www.example.vlaanderen is not valid
.wales,http://www.example.wales is not valid
.wien,http://www.example.wien is not valid
.miam,http://www.example.miam is not valid
.nyc,http://www.example.nyc is not valid
.quebec,http://www.example.quebec is not valid
.vegas,http://www.example.vegas is not valid
.,http://www.example. is not valid
.melbourne,http://www.example.melbourne is not valid
.sydney,http://www.example.sydney is not valid
.lat,http://www.example.lat is not valid
.rio,http://www.example.rio is not valid
.aaa,http://www.example.aaa is not valid
.abb,http://www.example.abb is not valid
.aeg,http://www.example.aeg is not valid
.afl,http://www.example.afl is not valid
.aig,http://www.example.aig is not valid
.airtel,http://www.example.airtel is not valid
.bbc,http://www.example.bbc is not valid
.bentley,http://www.example.bentley is not valid
.example,http://www.example.example is not valid
.invalid,http://www.example.invalid is not valid
.local,http://www.example.local is not valid
.localhost,http://www.example.localhost is not valid
.onion,http://www.example.onion is not valid
.test,http://www.example.test is not valid
